Date Collected,Station Name,Total Snow Depth (in),Ave Snow Depth (in),Ave Water Content (in),Ave Density (percent),Method,Precip Reading       (in)
26-Jan-16,Missionary Spring,55.5,11.1,2.4,22,Bulk Sample,1.8
26-Jan-16,Tsaile I,127.5,25.5,5.7,22,Tube Sample,0.6
26-Jan-16,Tsaile III,153.5,30.7,7.7,25,Tube Sample,0.7
25-Jan-16,Whiskey Creek,158,31.6,8.9,28,Tube Sample,0
,Beaver Spring,,,,,No Sample Taken,
10-Feb-16,Bowl Canyon,157.5,31.5,8.6,27,Tube Sample,
08-Feb-16,Fluted Rock,79.5,15.9,4.2,26,Tube Sample,0.85
10-Feb-16,Hidden Valley,136.5,27.3,7.2,26,Tube Sample,
08-Feb-16,Missionary Spring,48.5,9.7,3,31,Bulk Sample,0.75
08-Feb-16,Tsaile I,154.5,30.9,7.7,25,Tube Sample,
08-Feb-16,Tsaile III,178,35.6,9.8,28,Tube Sample,
09-Feb-16,Whiskey Creek,175,35,10.1,29,Tube Sample,
,Beaver Spring,,,,,No Sample Taken,
23-Feb-16,Bowl Canyon,129,25.8,8.4,33,Tube Sample,0.00
07-Mar-16,Tsaile III,87.5,17.5,5.9,34,Tube Sample,
11-Mar-16,Whiskey Creek,94.5,18.9,7,37,Tube Sample,
28-Mar-16,Beaver Spring,12.5,2.5,1.1,44,Bulk Sample,
25-Mar-16,Bowl Canyon,36.5,7.3,2.8,38,Bulk Sample,0.2
25-Mar-16,Fluted Rock,0,0,0,0,No Snow Measured,0.1
29-Mar-16,Hidden Valley,0,0,0,0,No Snow Measured,
25-Mar-16,Missionary Spring,0,0,0,0,No Snow Measured,0.1
25-Mar-16,Tsaile I,0,0,0,0,No Snow Measured,
25-Mar-16,Tsaile III,21,4.2,1.4,33,Bulk Sample,
28-Mar-16,Whiskey Creek,31,6.2,2.2,35,Bulk Sample,
29-Dec-16,Beaver Spring,83,16.6,5.3,31,Tube Sample,
26-Dec-16,Bowl Canyon,78.5,15.7,3.9,24,Tube Sample,
29-Dec-16,Fluted Rock,7,1.4,0.3,30,Bulk Sample,
30-Dec-16,Hidden Valley,47,9.4,2.7,30,Bulk Sample,
27-Dec-16,Missionary Spring,15,3,0.8,27,Bulk Sample,
28-Dec-16,Tsaile I,47,9.4,3,33,Tube Sample,
28-Dec-16,Tsaile III,77,15.4,4.7,31,Tube Sample,
27-Dec-16,Whiskey Creek,81,16.2,5,31,Tube Sample,
02-Feb-17,Beaver Spring,191,38.2,11.3,30,Tube Sample,
25-Jan-17,Bowl Canyon,219,43.8,11.2,25,Tube Sample,
31-Jan-17,Fluted Rock,75,15,2.9,19,Tube Sample,
31-Jan-17,Hidden Valley,146.5,29.3,9.1,31,Tube Sample,
31-Jan-17,Missionary Spring,68,13.6,3.2,23,Bulk Sample,
28-Jan-17,Tsaile I,147,29.4,8.4,29,Tube Sample,
30-Jan-17,Tsaile III,195.5,39.1,9.9,25,Tube Sample,
27-Jan-17,Whiskey Creek,218.5,43.7,13.6,31,Tube Sample,
28-Feb-17,Beaver Spring,,,,,No Sample Taken,
21-Feb-17,Bowl Canyon,169,33.8,10.8,32,Tube Sample,18.42
22-Feb-17,Fluted Rock,19.5,3.9,1.5,38,Bulk Sample,13.9
23-Feb-17,Hidden Valley,104.5,20.9,8.2,39,Tube Sample,0.70
31-Mar-17,Beaver Spring,56.5,11.3,3.4,31,Tube Sample,
27-Mar-17,Bowl Canyon,89,17.8,7.2,40,Tube Sample,1.98
30-Mar-17,Fluted Rock,,,,,No Snow Measured,
28-Mar-17,Hidden Valley,32.5,6.5,2.5,42,Bulk Sample,2.05
30-Mar-17,Missionary Spring,,,,,No Snow Measured,
31-Mar-17,Tsaile I,8.5,1.7,0.3,15,Bulk Sample,
30-Mar-17,Tsaile III,56.5,11.3,4.6,42,Tube Sample,1.0
29-Mar-17,Whiskey Creek,102,20.5,8.1,40,Tube Sample,2.18
22-Feb-17,Missionary Spring,,,,,No Snow Measured,
27-Feb-17,Tsaile I,69,13.8,5.4,39,Tube Sample,0.80
02-Mar-17,Tsaile III,212,42.4,13.3,31,Tube Sample,3.6
22-Feb-17,Whiskey Creek,161.5,32.3,11,34,Tube Sample,1.10
29-Jan-15,Beaver Spring,54,10.8,2.6,24,Bulk Sample,0.20
27-Jan-15,Bowl Canyon,78.5,15.7,3.2,20,Bulk Sample,0.60
27-Jan-15,Fluted Rock,26,5.2,1.6,31,Bulk Sample,0.80
28-Jan-15,Hidden Valley,45.5,9.1,2.5,27,Bulk Sample,
27-Jan-15,Missionary Spring,15.5,3.1,0.9,29,Bulk Sample,0.76
29-Jan-15,Tsaile I,35.5,7.1,2.2,31,Bulk Sample,0.15
29-Jan-15,Tsaile III,70,14,3.6,26,Bulk Sample,
27-Jan-15,Whiskey Creek,74.5,14.9,3.6,24,Bulk Sample,0.65
10-Feb-15,Beaver Spring,62.5,12.5,3.3,26,Bulk Sample,
11-Feb-15,Bowl Canyon,80.5,16.1,4.1,25,Bulk Sample,
10-Feb-15,Fluted Rock,18,3.6,1.5,42,Bulk Sample,1.00
11-Feb-15,Hidden Valley,50,10,3.3,33,Bulk Sample,
10-Feb-15,Missionary Spring,0,0,0,0,No Snow Measured,0.80
10-Feb-15,Tsaile I,37.5,7.5,2.6,35,Bulk Sample,
10-Feb-15,Tsaile III,71,14.2,4.1,29,Bulk Sample,
11-Feb-15,Whiskey Creek,71,14.2,3.9,27,Bulk Sample,1.45
25-Feb-15,Beaver Spring,91,18.2,3.9,21,Tube Sample,
24-Feb-15,Bowl Canyon,125,25,4.5,18,Tube Sample,
25-Feb-15,Fluted Rock,22,4.4,0.4,9,Bulk Sample,0.70
25-Feb-15,Hidden Valley,61.5,12.3,3.2,26,Bulk Sample,
30-Dec-14,Beaver Spring,34.5,6.9,1.3,19,Bulk Sample,2.20
29-Dec-14,Bowl Canyon,51.5,10.3,1.6,16,Bulk Sample,2.10
28-Dec-14,Fluted Rock,25.5,5.1,0.8,16,Bulk Sample,2.32
29-Dec-14,Hidden Valley,26,5.2,1,19,Bulk Sample,1.40
28-Dec-14,Missionary Spring,11.5,2.3,0.3,13,Bulk Sample,1.52
30-Dec-14,Tsaile I,25,5,0.9,18,Bulk Sample,1.60
30-Dec-14,Tsaile III,49,9.8,1.5,15,Bulk Sample,2.00
29-Dec-14,Whiskey Creek,49.5,9.9,1.9,19,Bulk Sample,1.50
15-Jan-15,Beaver Spring,79.5,15.9,3.1,19,Tube Sample,1.70
13-Jan-15,Bowl Canyon,68,13.6,2.4,18,Bulk Sample,0.80
13-Jan-15,Fluted Rock,25,5,1,20,Bulk Sample,0.78
15-Jan-15,Hidden Valley,67.5,13.5,2.4,18,Tube Sample,1.30
13-Jan-15,Missionary Spring,18.5,3.7,0.4,11,Bulk Sample,0.52
14-Jan-15,Tsaile I,71,14.2,2.1,15,Tube Sample,2.30
14-Jan-15,Tsaile III,103,20.6,3.5,17,Tube Sample,1.90
13-Jan-15,Whiskey Creek,73.5,14.7,2.7,18,Bulk Sample,1.05
24-Feb-15,Missionary Spring,51,10.2,1.1,11,Bulk Sample,1.30
24-Feb-15,Tsaile I,45,9,1.5,17,Bulk Sample,
24-Feb-15,Tsaile III,103.5,20.7,4.5,22,Bulk Sample,
26-Feb-15,Whiskey Creek,87,17.4,4.8,28,Bulk Sample,
12-Mar-15,Beaver Spring,123.5,24.7,7.6,31,Tube Sample,
10-Mar-15,Bowl Canyon,141.5,28.3,7.9,28,Tube Sample,2.55
12-Mar-15,Fluted Rock,5.5,1.1,0.3,27,Bulk Sample,1.50
11-Mar-15,Hidden Valley,93.5,18.7,7.3,39,Tube Sample,
10-Mar-15,Missionary Spring,35.5,7.1,2.4,34,Bulk Sample,2.05
12-Mar-15,Tsaile I,53,10.6,3.3,31,Bulk Sample,2.15
12-Mar-15,Tsaile III,115,23,7.2,31,Tube Sample,3.30
11-Mar-15,Whiskey Creek,120,24,7.4,31,Tube Sample,2.00
,Beaver Spring,,,,,No Sample Taken,
25-Mar-15,Bowl Canyon,73,14.6,4.1,28,Bulk Sample,0.02
27-Mar-15,Fluted Rock,0,0,0,0,No Snow Measured,0.02
25-Mar-15,Hidden Valley,33,6.6,2.5,38,Bulk Sample,0.00
25-Mar-15,Missionary Spring,0,0,0,0,No Snow Measured,0.08
26-Mar-15,Tsaile I,0,0,0,0,No Snow Measured,0.00
26-Mar-15,Tsaile III,37.5,7.5,2.3,31,Bulk Sample,0.00
30-Mar-15,Whiskey Creek,21.5,4.3,1.2,28,Bulk Sample,0.20
22-Feb-16,Fluted Rock,35,7,2.6,37,Bulk Sample,0.00
24-Feb-16,Hidden Valley,97.5,19.5,5.6,29,Tube Sample,
22-Feb-16,Missionary Spring,6.5,1.3,0.4,31,Bulk Sample, 0.0
22-Feb-16,Tsaile I,92.5,18.5,5.9,32,Tube Sample,
22-Feb-16,Tsaile III,128,25.6,8.5,33,Tube Sample,
23-Feb-16,Whiskey Creek,135.5,27.1,8.2,30,Tube Sample,
14-Mar-16,Beaver Spring,76.5,15.3,6.2,41,Bulk Sample,2.95
09-Mar-16,Bowl Canyon,93,18.6,6.2,33,Tube Sample,
08-Mar-16,Fluted Rock,0,0,0,0,No Snow Measured,
08-Mar-16,Hidden Valley,60.5,12.1,3.9,32,Tube Sample,
09-Mar-16,Missionary Spring,0,0,0,0,No Snow Measured,
09-Mar-16,Tsaile I,44,8.8,3.2,36,Bulk Sample,
30-Dec-15,Beaver Spring,130.5,26.1,6.3,24,Tube Sample,4.7
23-Dec-15,Bowl Canyon,109.5,21.9,4.9,22,Tube Sample,
28-Dec-15,Fluted Rock,42,8.4,1.7,20,Tube Sample,1.3
29-Dec-15,Hidden Valley,84,16.8,3.7,23,Tube Sample,1.01
28-Dec-15,Missionary Spring,42.5,8.5,1.8,21,Bulk Sample,2.4
28-Dec-15,Tsaile I,83,16.6,3.4,20,Tube Sample,2.0
28-Dec-15,Tsaile III,130,26,5.8,22,Tube Sample,3.03
23-Dec-15,Whiskey Creek,114.5,22.9,5,22,Tube Sample,3.5
15-Jan-16,Beaver Spring,157,31.4,7.9,25,Tube Sample,1.30
11-Jan-16,Bowl Canyon,159,31.8,7.4,23,Tube Sample,NST
12-Jan-16,Fluted Rock,75,15,3,20,Tube Sample,1.0
14-Jan-16,Hidden Valley,121,24.2,4.9,20,Tube Sample,0.75
11-Jan-16,Missionary Spring,65,13,2.1,16,Bulk Sample,2.1
13-Jan-16,Tsaile I,116.5,23.3,5,22,Tube Sample,2.5
13-Jan-16,Tsaile III,152.5,30.5,7.8,26,Tube Sample,1.4
12-Jan-16,Whiskey Creek,164,32.8,8.8,27,Tube Sample,2
28-Jan-16,Beaver Spring,155,31,8.9,29,Tube Sample,
25-Jan-16,Bowl Canyon,141,28.2,7.6,27,Tube Sample,
26-Jan-16,Fluted Rock,70.5,14.1,3.2,23,Tube Sample,0.25
27-Jan-16,Hidden Valley,126.5,25.3,6.6,26,Tube Sample,0.3
26-Jan-16,Missionary Spring,55.5,11.1,2.4,22,Bulk Sample,1.8
26-Jan-16,Tsaile I,127.5,25.5,5.7,22,Tube Sample,0.6
26-Jan-16,Tsaile III,153.5,30.7,7.7,25,Tube Sample,0.7
25-Jan-16,Whiskey Creek,158,31.6,8.9,28,Tube Sample,0
,Beaver Spring,,,,,No Sample Taken,
10-Feb-16,Bowl Canyon,157.5,31.5,8.6,27,Tube Sample,
08-Feb-16,Fluted Rock,79.5,15.9,4.2,26,Tube Sample,0.85
10-Feb-16,Hidden Valley,136.5,27.3,7.2,26,Tube Sample,
08-Feb-16,Missionary Spring,48.5,9.7,3,31,Bulk Sample,0.75
08-Feb-16,Tsaile I,154.5,30.9,7.7,25,Tube Sample,
08-Feb-16,Tsaile III,178,35.6,9.8,28,Tube Sample,
09-Feb-16,Whiskey Creek,175,35,10.1,29,Tube Sample,
,Beaver Spring,,,,,No Sample Taken,
23-Feb-16,Bowl Canyon,129,25.8,8.4,33,Tube Sample,0.00
07-Mar-16,Tsaile III,87.5,17.5,5.9,34,Tube Sample,
11-Mar-16,Whiskey Creek,94.5,18.9,7,37,Tube Sample,
28-Mar-16,Beaver Spring,12.5,2.5,1.1,44,Bulk Sample,
25-Mar-16,Bowl Canyon,36.5,7.3,2.8,38,Bulk Sample,0.2
25-Mar-16,Fluted Rock,0,0,0,0,No Snow Measured,0.1
29-Mar-16,Hidden Valley,0,0,0,0,No Snow Measured,
25-Mar-16,Missionary Spring,0,0,0,0,No Snow Measured,0.1
25-Mar-16,Tsaile I,0,0,0,0,No Snow Measured,
25-Mar-16,Tsaile III,21,4.2,1.4,33,Bulk Sample,
28-Mar-16,Whiskey Creek,31,6.2,2.2,35,Bulk Sample,
29-Dec-16,Beaver Spring,83,16.6,5.3,31,Tube Sample,
26-Dec-16,Bowl Canyon,78.5,15.7,3.9,24,Tube Sample,
29-Dec-16,Fluted Rock,7,1.4,0.3,30,Bulk Sample,
30-Dec-16,Hidden Valley,47,9.4,2.7,30,Bulk Sample,
27-Dec-16,Missionary Spring,15,3,0.8,27,Bulk Sample,
28-Dec-16,Tsaile I,47,9.4,3,33,Tube Sample,
28-Dec-16,Tsaile III,77,15.4,4.7,31,Tube Sample,
27-Dec-16,Whiskey Creek,81,16.2,5,31,Tube Sample,
02-Feb-17,Beaver Spring,191,38.2,11.3,30,Tube Sample,
25-Jan-17,Bowl Canyon,219,43.8,11.2,25,Tube Sample,
31-Jan-17,Fluted Rock,75,15,2.9,19,Tube Sample,
31-Jan-17,Hidden Valley,146.5,29.3,9.1,31,Tube Sample,
31-Jan-17,Missionary Spring,68,13.6,3.2,23,Bulk Sample,
28-Jan-17,Tsaile I,147,29.4,8.4,29,Tube Sample,
30-Jan-17,Tsaile III,195.5,39.1,9.9,25,Tube Sample,
27-Jan-17,Whiskey Creek,218.5,43.7,13.6,31,Tube Sample,
28-Feb-17,Beaver Spring,,,,,No Sample Taken,
21-Feb-17,Bowl Canyon,169,33.8,10.8,32,Tube Sample,18.42
22-Feb-17,Fluted Rock,19.5,3.9,1.5,38,Bulk Sample,13.9
23-Feb-17,Hidden Valley,104.5,20.9,8.2,39,Tube Sample,0.70
31-Mar-17,Beaver Spring,56.5,11.3,3.4,31,Tube Sample,
27-Mar-17,Bowl Canyon,89,17.8,7.2,40,Tube Sample,1.98
30-Mar-17,Fluted Rock,,,,,No Snow Measured,
28-Mar-17,Hidden Valley,32.5,6.5,2.5,42,Bulk Sample,2.05
30-Mar-17,Missionary Spring,,,,,No Snow Measured,
31-Mar-17,Tsaile I,8.5,1.7,0.3,15,Bulk Sample,
30-Mar-17,Tsaile III,56.5,11.3,4.6,42,Tube Sample,1.0
29-Mar-17,Whiskey Creek,102,20.5,8.1,40,Tube Sample,2.18
22-Feb-17,Missionary Spring,,,,,No Snow Measured,
27-Feb-17,Tsaile I,69,13.8,5.4,39,Tube Sample,0.80
02-Mar-17,Tsaile III,212,42.4,13.3,31,Tube Sample,3.6
22-Feb-17,Whiskey Creek,161.5,32.3,11,34,Tube Sample,1.10
